load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
2501120	1384448	54224	408	21632	(208, 208, 32)	(208, 208, 16)	(3, 3)	(1, 1)	(1, 1)
5212160	692224	151568	216	43264	(104, 104, 64)	(104, 104, 32)	(3, 3)	(1, 1)	(1, 1)
2785152	173056	32912	336	4096	(26, 26, 256)	(26, 26, 128)	(3, 3)	(1, 1)	(1, 1)
1525760	86528	7312	1368	2048	(13, 13, 512)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
10256256	173056	106640	336	4096	(13, 13, 1024)	(13, 13, 512)	(3, 3)	(1, 1)	(1, 1)
2901888	346112	41104	336	8192	(52, 52, 128)	(52, 52, 64)	(3, 3)	(1, 1)	(1, 1)
378880	21632	7312	32	512	(13, 13, 128)	(13, 13, 256)	(1, 1)	(1, 1)	(0, 0)
3031040	43264	51344	32	1024	(13, 13, 256)	(13, 13, 1024)	(1, 1)	(1, 1)	(0, 0)
8355840	173056	82064	336	4096	(26, 26, 256)	(26, 26, 384)	(3, 3)	(1, 1)	(1, 1)
1515520	43264	26768	32	1024	(13, 13, 256)	(13, 13, 512)	(1, 1)	(1, 1)	(0, 0)
3031040	173056	57232	32	4096	(26, 26, 256)	(26, 26, 256)	(1, 1)	(1, 1)	(0, 0)
1280000	25088	1856	2760	2048	(7, 7, 512)	(14, 14, 256)	(3, 3)	(2, 2)	(1, 1)
2409472	25088	3392	2760	2048	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
696320	50176	2192	1472	1024	(14, 14, 256)	(28, 28, 128)	(3, 3)	(2, 2)	(1, 1)
790528	50168	3728	1472	1024	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
717824	100352	2704	744	2048	(28, 28, 128)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
724992	100352	4240	800	1024	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
745472	200704	4624	464	1792	(56, 56, 64)	(56, 56, 64)	(3, 3)	(1, 1)	(1, 1)
398848	100352	2704	128	2048	(28, 28, 128)	(56, 56, 64)	(1, 1)	(2, 2)	(0, 0)
245248	50176	2192	128	2048	(14, 14, 256)	(28, 28, 128)	(1, 1)	(2, 2)	(0, 0)
217600	25088	1856	128	2048	(7, 7, 512)	(14, 14, 256)	(1, 1)	(2, 2)	(0, 0)
3481472	100352	25744	128	8192	(7, 7, 2048)	(14, 14, 1024)	(1, 1)	(2, 2)	(0, 0)
3923968	200704	26768	128	8192	(14, 14, 1024)	(28, 28, 512)	(1, 1)	(2, 2)	(0, 0)
4064256	401408	4624	280	57344	(28, 28, 512)	(56, 56, 256)	(1, 1)	(2, 2)	(0, 0)
258048	200704	3280	176	3584	(56, 56, 64)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
1032192	200704	7312	176	3584	(56, 56, 64)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
1032192	802816	12688	176	14336	(56, 56, 256)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
2064384	401408	9104	176	7168	(56, 56, 128)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
2281472	100352	8336	408	2048	(28, 28, 128)	(56, 56, 128)	(3, 3)	(2, 2)	(1, 1)
1064960	100352	4240	296	2048	(28, 28, 128)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
1736704	401408	10384	352	4096	(28, 28, 512)	(28, 28, 128)	(1, 1)	(1, 1)	(0, 0)
2129920	200704	8336	296	4096	(28, 28, 256)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
