load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
2129920	401408	10384	304	8192	(28, 28, 512)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
200544	27744	480	1300	384	(17, 17, 96)	(35, 35, 96)	(3, 3)	(2, 2)	(0, 0)
1087360	150528	6288	800	1536	(28, 28, 192)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
293120	31360	1280	1808	640	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
1064960	100352	4240	296	2048	(28, 28, 128)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
3172608	93312	1306480	12	373248	(27, 27, 128)	(27, 27, 32)	(1, 1)	(1, 1)	(0, 0)
2409472	25088	3392	2760	2048	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
3309696	8112	649072	12	32448	(13, 13, 48)	(13, 13, 384)	(1, 1)	(1, 1)	(0, 0)
1736704	401408	10384	352	4096	(28, 28, 512)	(28, 28, 128)	(1, 1)	(1, 1)	(0, 0)
2064384	802808	18064	176	14336	(56, 56, 256)	(56, 56, 128)	(1, 1)	(1, 1)	(0, 0)
476480	15680	1280	1752	1280	(7, 7, 320)	(7, 7, 160)	(3, 3)	(1, 1)	(1, 1)
3189312	1382952	22096	184	12544	(147, 147, 64)	(147, 147, 32)	(3, 3)	(1, 1)	(1, 1)
624640	25088	704	968	2048	(7, 7, 512)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
378880	21632	7312	32	512	(13, 13, 128)	(13, 13, 256)	(1, 1)	(1, 1)	(0, 0)
5963648	802816	28816	464	7168	(56, 56, 256)	(56, 56, 128)	(3, 3)	(1, 1)	(1, 1)
1249280	25088	1088	968	2048	(7, 7, 512)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
482304	37632	2960	1136	768	(14, 14, 192)	(14, 14, 192)	(3, 3)	(1, 1)	(1, 1)
430080	401408	4624	112	3584	(112, 112, 32)	(112, 112, 32)	(1, 1)	(1, 1)	(0, 0)
4128768	802800	18064	176	14336	(56, 56, 256)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
37731840	46240	7028592	12	184960	(17, 17, 160)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
