wkl_name	ofm_dim	ifm_dim	kernel_dim	stride	pad
14_14_480_96_1_1_0_0_1_1	(14, 14, 96)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
56_56_32_32_1_1_0_0_1_1	(56, 56, 32)	(56, 56, 32)	(1, 1)	(1, 1)	(0, 0)
8_8_1280_384_1_1_0_0_1_1	(8, 8, 384)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
104_104_32_64_3_3_1_1_1_1	(104, 104, 64)	(104, 104, 32)	(3, 3)	(1, 1)	(1, 1)
14_14_1024_256_1_1_0_0_1_1	(14, 14, 256)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
35_35_64_96_3_3_1_1_1_1	(35, 35, 96)	(35, 35, 64)	(3, 3)	(1, 1)	(1, 1)
35_35_288_384_3_3_0_0_2_2	(17, 17, 384)	(35, 35, 288)	(3, 3)	(2, 2)	(0, 0)
14_14_512_512_3_3_1_1_1_1	(14, 14, 512)	(14, 14, 512)	(3, 3)	(1, 1)	(1, 1)
14_14_160_160_3_3_1_1_1_1	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
149_149_32_32_3_3_0_0_1_1	(147, 147, 32)	(149, 149, 32)	(3, 3)	(1, 1)	(0, 0)
8_8_1280_320_1_1_0_0_1_1	(8, 8, 320)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
112_112_32_32_1_1_0_0_2_2	(56, 56, 32)	(112, 112, 32)	(1, 1)	(2, 2)	(0, 0)
55_55_16_64_1_1_0_0_1_1	(55, 55, 64)	(55, 55, 16)	(1, 1)	(1, 1)	(0, 0)
17_17_768_160_1_1_0_0_1_1	(17, 17, 160)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
8_8_1280_448_1_1_0_0_1_1	(8, 8, 448)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
7_7_912_912_1_1_0_0_1_1	(7, 7, 912)	(7, 7, 912)	(1, 1)	(1, 1)	(0, 0)
35_35_288_64_1_1_0_0_1_1	(35, 35, 64)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
28_28_256_512_1_1_0_0_1_1	(28, 28, 512)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
14_14_160_320_3_3_1_1_1_1	(14, 14, 320)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
7_7_832_160_1_1_0_0_1_1	(7, 7, 160)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
7_7_400_400_3_3_1_1_1_1	(7, 7, 400)	(7, 7, 400)	(3, 3)	(1, 1)	(1, 1)
28_28_512_256_1_1_0_0_1_1	(28, 28, 256)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
56_56_256_64_1_1_0_0_1_1	(56, 56, 64)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
56_56_128_128_3_3_1_1_1_1	(56, 56, 128)	(56, 56, 128)	(3, 3)	(1, 1)	(1, 1)
28_28_512_1024_1_1_0_0_2_2	(14, 14, 1024)	(28, 28, 512)	(1, 1)	(2, 2)	(0, 0)
13_13_256_256_3_3_1_1_1_1	(13, 13, 256)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
13_13_384_48_1_1_0_0_1_1	(13, 13, 48)	(13, 13, 384)	(1, 1)	(1, 1)	(0, 0)
56_56_256_256_1_1_0_0_1_1	(56, 56, 256)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
13_13_512_256_1_1_0_0_1_1	(13, 13, 256)	(13, 13, 512)	(1, 1)	(1, 1)	(0, 0)
13_13_64_256_3_3_1_1_1_1	(13, 13, 256)	(13, 13, 64)	(3, 3)	(1, 1)	(1, 1)
7_7_1024_1024_1_1_0_0_1_1	(7, 7, 1024)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
7_7_1024_2048_1_1_0_0_1_1	(7, 7, 2048)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
27_27_64_192_5_5_2_2_1_1	(27, 27, 192)	(27, 27, 64)	(5, 5)	(1, 1)	(2, 2)
35_35_192_48_1_1_0_0_1_1	(35, 35, 48)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
14_14_128_256_3_3_1_1_1_1	(14, 14, 256)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
147_147_32_64_3_3_1_1_1_1	(147, 147, 64)	(147, 147, 32)	(3, 3)	(1, 1)	(1, 1)
112_112_64_128_3_3_1_1_1_1	(112, 112, 128)	(112, 112, 64)	(3, 3)	(1, 1)	(1, 1)
7_7_96_576_1_1_0_0_1_1	(7, 7, 576)	(7, 7, 96)	(1, 1)	(1, 1)	(0, 0)
27_27_32_128_3_3_1_1_1_1	(27, 27, 128)	(27, 27, 32)	(3, 3)	(1, 1)	(1, 1)
28_28_64_64_3_3_1_1_1_1	(28, 28, 64)	(28, 28, 64)	(3, 3)	(1, 1)	(1, 1)
14_14_112_224_3_3_1_1_1_1	(14, 14, 224)	(14, 14, 112)	(3, 3)	(1, 1)	(1, 1)
14_14_32_128_3_3_1_1_1_1	(14, 14, 128)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
14_14_400_400_3_3_1_1_2_2	(7, 7, 400)	(14, 14, 400)	(3, 3)	(2, 2)	(1, 1)
14_14_528_128_1_1_0_0_1_1	(14, 14, 128)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
224_224_64_64_3_3_1_1_1_1	(224, 224, 64)	(224, 224, 64)	(3, 3)	(1, 1)	(1, 1)
7_7_288_48_1_1_0_0_1_1	(7, 7, 48)	(7, 7, 288)	(1, 1)	(1, 1)	(0, 0)
35_35_256_48_1_1_0_0_1_1	(35, 35, 48)	(35, 35, 256)	(1, 1)	(1, 1)	(0, 0)
13_13_256_128_1_1_0_0_1_1	(13, 13, 128)	(13, 13, 256)	(1, 1)	(1, 1)	(0, 0)
7_7_288_288_3_3_1_1_1_1	(7, 7, 288)	(7, 7, 288)	(3, 3)	(1, 1)	(1, 1)
14_14_96_208_3_3_1_1_1_1	(14, 14, 208)	(14, 14, 96)	(3, 3)	(1, 1)	(1, 1)
112_112_128_128_3_3_1_1_1_1	(112, 112, 128)	(112, 112, 128)	(3, 3)	(1, 1)	(1, 1)
56_56_256_128_1_1_0_0_1_1	(56, 56, 128)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
8_8_1280_192_1_1_0_0_1_1	(8, 8, 192)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
14_14_192_32_1_1_0_0_1_1	(14, 14, 32)	(14, 14, 192)	(1, 1)	(1, 1)	(0, 0)
8_8_448_384_3_3_1_1_1_1	(8, 8, 384)	(8, 8, 448)	(3, 3)	(1, 1)	(1, 1)
14_14_512_128_1_1_0_0_1_1	(14, 14, 128)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_64_384_1_1_0_0_1_1	(7, 7, 384)	(7, 7, 64)	(1, 1)	(1, 1)	(0, 0)
112_112_32_16_1_1_0_0_1_1	(112, 112, 16)	(112, 112, 32)	(1, 1)	(1, 1)	(0, 0)
14_14_512_1024_1_1_0_0_1_1	(14, 14, 1024)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
28_28_128_512_1_1_0_0_1_1	(28, 28, 512)	(28, 28, 128)	(1, 1)	(1, 1)	(0, 0)
7_7_832_128_1_1_0_0_1_1	(7, 7, 128)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
14_14_528_160_1_1_0_0_1_1	(14, 14, 160)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
56_56_48_48_3_3_1_1_1_1	(56, 56, 48)	(56, 56, 48)	(3, 3)	(1, 1)	(1, 1)
28_28_512_512_3_3_1_1_1_1	(28, 28, 512)	(28, 28, 512)	(3, 3)	(1, 1)	(1, 1)
7_7_512_2048_1_1_0_0_1_1	(7, 7, 2048)	(7, 7, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_384_96_1_1_0_0_1_1	(7, 7, 96)	(7, 7, 384)	(1, 1)	(1, 1)	(0, 0)
14_14_512_256_1_1_0_0_1_1	(14, 14, 256)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_240_48_1_1_0_0_1_1	(7, 7, 48)	(7, 7, 240)	(1, 1)	(1, 1)	(0, 0)
28_28_128_256_1_1_0_0_2_2	(14, 14, 256)	(28, 28, 128)	(1, 1)	(2, 2)	(0, 0)
28_28_192_16_1_1_0_0_1_1	(28, 28, 16)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
35_35_96_96_3_3_1_1_1_1	(35, 35, 96)	(35, 35, 96)	(3, 3)	(1, 1)	(1, 1)
35_35_192_32_1_1_0_0_1_1	(35, 35, 32)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
52_52_64_128_3_3_1_1_1_1	(52, 52, 128)	(52, 52, 64)	(3, 3)	(1, 1)	(1, 1)
13_13_1024_256_1_1_0_0_1_1	(13, 13, 256)	(13, 13, 1024)	(1, 1)	(1, 1)	(0, 0)
17_17_192_320_3_3_0_0_2_2	(8, 8, 320)	(17, 17, 192)	(3, 3)	(2, 2)	(0, 0)
7_7_384_64_1_1_0_0_1_1	(7, 7, 64)	(7, 7, 384)	(1, 1)	(1, 1)	(0, 0)
17_17_768_128_1_1_0_0_1_1	(17, 17, 128)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
26_26_384_256_3_3_1_1_1_1	(26, 26, 256)	(26, 26, 384)	(3, 3)	(1, 1)	(1, 1)
13_13_512_1024_3_3_1_1_1_1	(13, 13, 1024)	(13, 13, 512)	(3, 3)	(1, 1)	(1, 1)
14_14_528_32_1_1_0_0_1_1	(14, 14, 32)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
7_7_48_288_1_1_0_0_1_1	(7, 7, 288)	(7, 7, 48)	(1, 1)	(1, 1)	(0, 0)
7_7_288_288_5_5_2_2_2_2	(4, 4, 288)	(7, 7, 288)	(5, 5)	(2, 2)	(2, 2)
56_56_256_256_3_3_1_1_2_2	(28, 28, 256)	(56, 56, 256)	(3, 3)	(2, 2)	(1, 1)
28_28_64_160_1_1_0_0_2_2	(14, 14, 160)	(28, 28, 64)	(1, 1)	(2, 2)	(0, 0)
73_73_80_192_3_3_0_0_1_1	(71, 71, 192)	(73, 73, 80)	(3, 3)	(1, 1)	(0, 0)
27_27_256_32_1_1_0_0_1_1	(27, 27, 32)	(27, 27, 256)	(1, 1)	(1, 1)	(0, 0)
26_26_128_256_3_3_1_1_1_1	(26, 26, 256)	(26, 26, 128)	(3, 3)	(1, 1)	(1, 1)
28_28_128_192_3_3_1_1_1_1	(28, 28, 192)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
14_14_160_400_1_1_0_0_2_2	(7, 7, 400)	(14, 14, 160)	(1, 1)	(2, 2)	(0, 0)
14_14_480_64_1_1_0_0_1_1	(14, 14, 64)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
14_14_384_64_1_1_0_0_1_1	(14, 14, 64)	(14, 14, 384)	(1, 1)	(1, 1)	(0, 0)
56_56_64_256_1_1_0_0_1_1	(56, 56, 256)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
35_35_48_64_5_5_2_2_1_1	(35, 35, 64)	(35, 35, 48)	(5, 5)	(1, 1)	(2, 2)
