,RO_VALUE,LAYER_OR_BOUNDARY
0,20004,layer
1,20000,layer
2,20020,layer
3,20004,layer
4,20006,layer
5,20014,layer
6,20000,layer
7,20000,layer
8,20000,layer
9,20020,layer
10,20000,layer
11,20000,layer
12,20000,layer
13,20014,layer
14,20009,layer
15,20004,layer
16,20000,layer
17,20004,layer
18,20013,layer
19,20020,layer
20,20020,layer
21,20000,layer
22,20000,layer
23,19986,layer
24,20000,layer
25,20007,layer
26,20000,layer
27,20000,layer
28,20000,layer
29,19978,layer
30,20000,layer
31,20000,layer
32,20000,layer
33,20000,layer
34,20000,layer
35,20000,layer
36,20013,layer
37,20004,layer
38,20000,layer
39,20004,layer
40,20014,layer
41,20000,layer
42,20000,layer
43,20000,layer
44,19978,layer
45,19980,layer
46,20006,layer
47,20009,layer
48,20004,layer
49,20004,layer
50,20004,layer
51,20004,layer
52,19980,layer
53,19980,layer
54,19993,layer
55,20000,layer
56,20003,layer
57,19976,layer
58,20000,layer
59,20020,layer
60,20006,layer
61,20004,layer
62,20000,layer
63,19992,layer
64,19968,layer
65,20006,layer
66,20000,layer
67,19978,layer
68,20000,layer
69,20025,layer
70,20006,layer
71,20000,layer
72,19976,layer
73,19980,layer
74,19980,layer
75,19988,layer
76,20020,layer
77,20018,layer
78,20006,layer
79,20000,layer
80,19980,layer
81,20000,layer
82,20024,layer
83,20016,layer
84,20002,layer
85,20000,layer
86,20000,layer
87,20000,layer
88,20004,layer
89,20000,layer
90,19997,layer
91,20006,layer
92,20013,layer
93,20004,layer
94,20004,layer
95,19986,layer
96,20006,layer
97,20004,layer
98,20000,layer
99,20000,layer
100,19980,layer
101,19980,layer
102,20003,layer
103,20020,layer
104,20004,layer
105,20006,layer
106,20000,layer
107,20000,layer
108,20004,layer
109,20000,layer
110,20004,layer
111,20013,layer
112,20015,layer
113,20020,layer
114,19984,layer
115,20002,layer
116,20000,layer
117,20004,layer
118,20004,layer
119,20002,layer
120,20020,layer
121,20004,layer
122,20004,layer
123,20020,layer
124,20000,layer
125,20006,layer
126,20000,layer
127,20000,layer
128,19980,layer
129,19980,layer
130,20000,layer
131,20020,layer
132,20004,layer
133,20014,layer
134,20000,layer
135,20004,layer
136,20004,layer
137,20020,layer
138,20000,layer
139,20016,layer
140,20000,layer
141,19992,layer
142,20000,layer
143,19996,layer
144,20005,layer
145,20006,layer
146,19979,layer
147,20000,layer
148,20014,layer
149,20020,layer
150,20004,layer
151,20000,layer
152,20000,layer
153,20000,layer
154,20000,layer
155,20002,layer
156,20000,layer
157,20000,layer
158,19980,layer
159,19984,layer
160,20007,layer
161,20020,layer
162,20000,layer
163,20000,layer
164,20020,layer
165,20000,layer
166,20020,layer
167,20020,layer
168,20004,layer
169,20000,layer
170,20001,layer
171,20016,layer
172,20020,layer
173,20020,layer
174,20000,layer
175,19980,layer
176,19980,layer
177,20000,layer
178,20000,layer
179,20004,layer
180,20004,layer
181,20004,layer
182,20004,layer
183,19968,layer
184,19982,layer
185,19980,layer
186,19986,layer
187,20004,layer
188,20013,layer
189,20018,layer
190,20000,layer
191,20004,layer
192,20000,layer
193,20000,layer
194,20002,layer
195,20000,layer
196,20000,layer
197,20004,layer
198,20012,layer
199,20013,layer
200,20020,layer
201,20000,layer
202,19984,layer
203,20005,layer
204,20004,layer
205,20000,layer
206,20000,layer
207,20000,layer
208,20000,layer
209,20007,layer
210,20016,layer
211,20000,layer
212,20015,layer
213,20000,layer
214,20004,layer
215,19986,layer
216,19980,layer
217,19980,layer
218,19991,layer
219,20007,layer
220,20018,layer
221,20004,layer
222,19983,layer
223,19997,layer
224,20000,layer
225,20000,layer
226,20000,layer
227,20000,layer
228,20000,layer
229,20000,layer
230,20000,layer
231,20000,layer
232,20000,layer
233,20004,layer
234,19968,layer
235,19980,layer
236,19980,layer
237,20004,layer
238,20026,layer
239,20020,layer
240,20006,layer
241,20000,layer
242,20000,layer
243,20004,layer
244,20020,layer
245,20016,layer
246,19986,layer
247,20000,layer
248,19984,layer
249,19984,layer
250,19955,layer
251,19980,layer
252,19960,layer
253,19979,layer
254,20006,layer
255,20020,layer
256,20020,layer
257,20000,layer
258,19992,layer
259,20000,layer
260,20020,layer
261,20020,layer
262,20020,layer
263,20000,layer
264,20020,layer
265,20020,layer
266,20077,layer
267,19987,layer
268,19980,layer
269,20000,layer
270,20000,layer
271,20001,layer
272,19992,layer
273,20000,layer
274,19978,layer
275,20000,layer
276,20000,layer
277,20000,layer
278,20000,layer
279,20000,layer
280,20020,layer
281,20000,layer
282,20020,layer
283,20020,layer
284,20007,layer
285,20001,layer
286,20000,layer
287,20000,layer
288,20000,layer
289,20004,layer
290,19982,layer
291,20000,layer
292,20004,layer
293,20000,layer
294,20000,layer
295,20004,layer
296,20004,layer
297,20020,layer
298,20018,layer
299,20000,layer
300,20004,layer
301,20000,layer
302,19984,layer
303,19982,layer
304,20004,layer
305,20018,layer
306,20020,layer
307,20000,layer
308,19992,layer
309,20000,layer
310,20000,layer
311,20000,layer
312,20000,layer
313,20000,layer
314,19980,layer
315,20004,layer
316,19996,layer
317,20004,layer
318,20000,layer
319,20000,layer
320,20004,layer
321,19978,layer
322,19980,layer
323,19968,layer
324,20000,layer
325,20004,layer
326,20000,layer
327,20024,layer
328,20020,layer
329,20004,layer
330,19980,layer
331,19984,layer
332,20005,layer
333,20021,layer
334,20004,layer
335,20004,layer
336,20016,layer
337,20000,layer
338,20004,layer
339,20000,layer
340,20000,layer
341,20020,layer
342,20020,layer
343,20000,layer
344,20002,layer
345,20004,layer
346,20000,layer
347,19980,layer
348,19980,layer
349,20004,layer
350,19996,layer
351,20020,layer
352,20000,layer
353,20000,layer
354,19980,layer
355,19980,layer
356,19958,layer
357,19993,layer
358,20000,layer
359,20020,layer
360,20003,layer
361,20010,layer
362,19980,layer
363,19964,layer
364,20000,layer
365,20000,layer
366,19911,layer
367,19840,layer
368,19936,layer
369,19900,layer
370,20040,layer
371,20000,layer
372,20000,layer
373,19959,layer
374,19980,layer
375,19980,layer
376,19987,layer
377,20000,layer
378,20005,layer
379,20000,layer
380,20000,layer
381,19986,layer
382,19840,layer
383,19844,layer
384,19860,layer
385,20000,layer
386,20020,layer
387,20004,layer
388,20016,layer
389,20000,layer
390,20000,layer
391,19980,layer
392,19980,layer
393,20000,layer
394,20004,layer
395,20020,layer
396,19992,layer
397,19860,layer
398,19860,layer
399,19880,layer
400,19896,layer
401,20026,layer
402,20000,layer
403,19980,layer
404,19968,layer
405,20000,layer
406,20000,layer
407,19980,layer
408,19980,layer
409,19980,layer
410,19982,layer
411,19982,layer
412,19960,layer
413,19839,layer
414,19840,layer
415,19880,layer
416,20006,layer
417,19979,layer
418,20000,layer
419,19984,layer
420,19980,layer
421,20000,layer
422,20004,layer
423,20000,layer
424,19991,layer
425,20004,layer
426,20004,layer
427,20000,layer
428,20000,layer
429,19980,layer
430,19980,layer
431,20005,layer
432,20000,layer
433,20000,layer
434,19884,layer
435,19844,layer
436,19853,layer
437,19880,layer
438,20040,layer
439,20020,layer
440,20000,layer
441,20005,layer
442,19980,layer
443,20007,layer
444,20000,layer
445,19980,layer
446,19958,layer
447,19992,layer
448,20005,layer
449,19940,layer
450,19865,layer
451,19860,layer
452,19900,layer
453,20064,layer
454,20040,layer
455,20000,layer
456,20000,layer
457,19980,layer
458,19980,layer
459,19980,layer
460,20000,layer
461,20020,layer
462,19982,layer
463,20004,layer
464,20000,layer
465,19860,layer
466,19860,layer
467,19860,layer
468,19980,layer
469,20020,layer
470,20013,layer
471,20000,layer
472,19980,layer
473,19988,layer
474,19998,layer
475,20077,layer
476,20000,layer
477,20013,layer
478,20009,layer
479,20018,layer
480,19880,layer
481,19840,layer
482,19860,layer
483,19860,layer
484,19964,layer
485,20000,layer
486,20004,layer
487,20020,layer
488,20022,layer
489,20000,layer
490,20026,layer
491,19980,layer
492,19978,layer
493,20000,layer
494,20000,layer
495,20000,layer
496,19972,layer
497,19992,layer
498,20009,layer
499,20000,layer
500,20000,layer
501,19980,layer
502,19859,layer
503,19840,layer
504,19860,layer
505,19956,layer
506,20040,layer
507,20018,layer
508,19984,layer
509,20000,layer
510,20004,layer
511,20004,layer
512,20000,layer
513,20000,layer
514,19984,layer
515,20000,layer
516,19982,layer
517,19860,layer
518,19840,layer
519,19863,layer
520,19880,layer
521,20033,layer
522,20000,layer
523,20000,layer
524,19978,layer
525,19968,layer
526,19984,layer
527,20000,layer
528,19980,layer
529,20007,layer
530,20001,layer
531,20000,layer
532,19962,layer
533,19846,layer
534,19860,layer
535,19864,layer
536,20033,layer
537,20020,layer
538,20013,layer
539,20000,layer
540,20000,layer
541,19992,layer
542,19976,layer
543,19986,layer
544,19980,layer
545,20015,layer
546,19980,layer
547,20001,layer
548,19860,layer
549,19840,layer
550,19880,layer
551,19960,layer
552,20024,layer
553,20000,layer
554,20004,layer
555,20020,layer
556,20018,layer
557,19972,layer
558,19984,layer
559,19982,layer
560,20000,layer
561,20000,layer
562,19984,layer
563,19994,layer
564,19993,layer
565,19984,layer
566,19998,layer
567,20000,layer
568,20000,layer
569,19944,layer
570,19846,layer
571,19860,layer
572,19860,layer
573,20020,layer
574,20014,layer
575,20004,layer
576,19992,layer
577,20003,layer
578,20000,layer
579,19990,layer
580,19986,layer
581,19980,layer
582,20001,layer
583,20001,layer
584,19968,layer
585,19840,layer
586,19840,layer
587,19860,layer
588,19980,layer
589,20020,layer
590,20000,layer
591,20000,layer
592,20000,layer
593,20000,layer
594,20000,layer
595,20004,layer
596,20000,layer
597,19994,layer
598,20018,layer
599,20009,layer
600,19900,layer
601,19840,layer
602,19860,layer
603,19880,layer
604,20040,layer
605,20020,layer
606,20000,layer
607,19984,layer
608,19980,layer
609,19984,layer
610,19986,layer
611,19984,layer
612,19980,layer
613,19980,layer
614,19984,layer
615,19960,layer
616,19816,layer
617,19844,layer
618,19880,layer
619,20004,layer
620,20016,layer
621,20000,layer
622,20017,layer
623,20014,layer
624,20000,layer
625,19984,layer
626,19980,layer
627,19980,layer
628,19980,layer
629,19978,layer
630,19984,layer
631,20013,layer
632,20000,layer
633,20013,layer
634,20013,layer
635,19980,layer
636,19980,layer
637,19900,layer
638,19840,layer
639,19851,layer
640,19867,layer
641,20037,layer
642,20014,layer
643,20000,layer
644,20000,layer
645,20000,layer
646,19980,layer
647,19980,layer
648,19980,layer
649,20000,layer
650,20020,layer
651,20000,layer
652,19968,layer
653,19840,layer
654,19840,layer
655,19850,layer
656,20016,layer
657,20004,layer
658,19980,layer
659,20005,layer
660,19980,layer
661,20000,layer
662,20000,layer
663,20010,layer
664,20004,layer
665,19984,layer
666,20020,layer
667,20009,layer
668,19860,layer
669,19844,layer
670,19840,layer
671,19864,layer
672,19984,layer
673,20020,layer
674,20000,layer
675,20004,layer
676,19984,layer
677,19980,layer
678,20000,layer
679,20000,layer
680,20004,layer
681,20000,layer
682,19984,layer
683,19940,layer
684,19856,layer
685,19860,layer
686,19878,layer
687,19980,layer
688,20002,layer
689,20020,layer
690,20000,layer
691,20000,layer
692,20000,layer
693,20020,layer
694,19984,layer
695,19980,layer
696,19984,layer
697,19987,layer
698,19978,layer
699,20000,layer
700,19978,layer
701,19984,layer
702,19982,layer
703,19980,layer
704,19960,layer
705,19884,layer
706,19840,layer
707,19860,layer
708,19880,layer
709,20020,layer
710,20020,layer
711,20012,layer
712,20000,layer
713,20004,layer
714,20000,layer
715,19998,layer
716,19980,layer
717,20000,layer
718,20000,layer
719,19980,layer
720,19947,layer
721,19820,layer
722,19862,layer
723,19884,layer
724,20060,layer
725,20020,layer
726,19984,layer
727,19980,layer
728,20014,layer
729,20000,layer
730,20000,layer
731,19980,layer
732,19980,layer
733,20004,layer
734,20000,layer
735,20004,layer
736,19860,layer
737,19838,layer
738,19860,layer
739,19944,layer
740,19983,layer
741,20000,layer
742,19980,layer
743,19980,layer
744,19990,layer
745,19976,layer
746,20000,layer
747,19988,layer
748,19984,layer
749,19990,layer
750,20014,layer
751,19904,layer
752,19858,layer
753,19842,layer
754,19873,layer
755,20020,layer
756,20004,layer
757,20004,layer
758,20005,layer
759,19980,layer
760,19998,layer
761,20020,layer
762,19980,layer
763,19998,layer
764,19968,layer
765,19980,layer
766,19993,layer
767,20006,layer
768,20000,layer
769,20020,layer
770,19982,layer
771,20000,layer
772,20018,layer
773,19900,layer
774,19880,layer
775,19860,layer
776,19900,layer
777,20000,layer
778,20001,layer
779,19980,layer
780,19980,layer
781,20000,layer
782,20000,layer
783,19978,layer
784,19989,layer
785,19980,layer
786,20000,layer
787,19913,layer
788,19840,layer
789,19858,layer
790,19860,layer
791,20039,layer
792,20020,layer
793,19997,layer
794,20000,layer
795,20002,layer
796,19996,layer
797,19984,layer
798,19984,layer
799,20015,layer
800,20020,layer
801,20004,layer
802,19958,layer
803,19860,layer
804,19860,layer
805,19900,layer
806,20042,layer
807,20020,layer
808,20000,layer
809,19999,layer
810,20000,layer
811,20000,layer
812,20000,layer
813,20000,layer
814,20000,layer
815,20000,layer
816,20005,layer
817,19980,layer
818,19854,layer
819,19847,layer
820,19860,layer
821,19940,layer
822,20000,layer
823,20006,layer
824,20004,layer
825,20000,layer
826,20004,layer
827,20000,layer
828,20020,layer
829,19960,layer
830,19946,layer
831,19980,layer
832,20002,layer
833,20009,layer
834,19980,layer
835,19966,layer
836,19957,layer
837,19991,layer
838,20000,layer
839,20000,layer
840,19860,layer
841,19840,layer
842,19860,layer
843,19960,layer
844,20020,layer
845,20020,layer
846,20000,layer
847,20004,layer
848,20000,layer
849,20000,layer
850,20000,layer
851,20000,layer
852,20004,layer
853,20004,layer
854,19984,layer
855,19899,layer
856,19847,layer
857,19844,layer
858,19880,layer
859,20020,layer
860,20000,layer
861,20012,layer
862,20000,layer
863,20000,layer
864,20000,layer
865,20002,layer
866,20000,layer
867,19980,layer
868,19962,layer
869,19960,layer
870,19904,layer
871,19860,layer
872,19860,layer
873,19880,layer
874,19979,layer
875,20020,layer
876,20000,layer
877,20000,layer
878,20000,layer
879,20016,layer
880,20013,layer
881,20000,layer
882,20012,layer
883,20020,layer
884,20000,layer
885,20002,layer
886,19860,layer
887,19844,layer
888,19860,layer
889,20005,layer
890,20020,layer
891,20000,layer
892,20000,layer
893,20004,layer
894,20000,layer
895,20000,layer
896,19980,layer
897,19980,layer
898,19980,layer
899,19978,layer
900,20009,layer
901,19998,layer
902,19984,layer
903,19978,layer
904,19968,layer
905,19984,layer
906,20000,layer
907,19900,layer
908,19840,layer
909,19878,layer
910,19900,layer
911,20040,layer
912,20020,layer
913,20000,layer
914,19980,layer
915,19984,layer
916,19978,layer
917,20020,layer
918,20000,layer
919,19980,layer
920,19984,layer
921,20000,layer
922,19983,layer
923,19844,layer
924,19840,layer
