layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
C	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
C	(112, 112, 32)	(112, 112, 16)	200704	(1, 1)	(1, 1)	(0, 0)
C	(112, 112, 16)	(112, 112, 96)	1204224	(1, 1)	(1, 1)	(0, 0)
C	(112, 112, 96)	(56, 56, 96)	301056	(3, 3)	(2, 2)	(1, 1)
C	(56, 56, 96)	(56, 56, 24)	75264	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 24)	(56, 56, 144)	451584	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 144)	(56, 56, 144)	451584	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 144)	(56, 56, 24)	75264	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 24)	(56, 56, 144)	451584	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 144)	(28, 28, 144)	112896	(3, 3)	(2, 2)	(1, 1)
C	(28, 28, 144)	(28, 28, 32)	25088	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 192)	(28, 28, 192)	150528	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 192)	(28, 28, 32)	25088	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 192)	(28, 28, 192)	150528	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 192)	(28, 28, 32)	25088	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 192)	(14, 14, 192)	37632	(3, 3)	(2, 2)	(1, 1)
C	(14, 14, 192)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 384)	(14, 14, 384)	75264	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 384)	(14, 14, 384)	75264	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 384)	(14, 14, 384)	75264	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 384)	(14, 14, 384)	75264	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 384)	(14, 14, 96)	18816	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 96)	(14, 14, 576)	112896	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 576)	(14, 14, 576)	112896	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 576)	(14, 14, 96)	18816	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 96)	(14, 14, 576)	112896	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 576)	(14, 14, 576)	112896	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 576)	(14, 14, 96)	18816	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 96)	(14, 14, 576)	112896	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 576)	(7, 7, 576)	28224	(3, 3)	(2, 2)	(1, 1)
C	(7, 7, 576)	(7, 7, 160)	7840	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 160)	(7, 7, 960)	47040	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 960)	(7, 7, 960)	47040	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 960)	(7, 7, 160)	7840	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 160)	(7, 7, 960)	47040	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 960)	(7, 7, 960)	47040	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 960)	(7, 7, 160)	7840	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 160)	(7, 7, 960)	47040	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 960)	(7, 7, 960)	47040	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 960)	(7, 7, 320)	15680	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 320)	(7, 7, 1280)	62720	(1, 1)	(1, 1)	(0, 0)
