layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
C	(56, 56, 16)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 16)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 16)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 16)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 64)	(28, 28, 64)	50176	(1, 1)	(2, 2)	(0, 0)
C	(56, 56, 64)	(28, 28, 64)	50176	(1, 1)	(2, 2)	(0, 0)
C	(56, 56, 64)	(28, 28, 128)	100352	(3, 3)	(2, 2)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 32)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 32)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 32)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 32)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
C	(28, 28, 64)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
C	(28, 28, 64)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
C	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 256)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 256)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 64)	(7, 7, 512)	25088	(1, 1)	(2, 2)	(0, 0)
C	(14, 14, 64)	(7, 7, 512)	25088	(1, 1)	(2, 2)	(0, 0)
C	(14, 14, 64)	(7, 7, 512)	25088	(1, 1)	(2, 2)	(0, 0)
C	(14, 14, 64)	(7, 7, 512)	25088	(1, 1)	(2, 2)	(0, 0)
C	(14, 14, 256)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
C	(7, 7, 512)	(7, 7, 512)	25088	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 512)	(7, 7, 512)	25088	(1, 1)	(1, 1)	(0, 0)
