layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
M	(56, 56, 16)	(28, 28, 16)	12544	(2, 2)	(2, 2)	(0, 0)
CBR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 192)	(28, 28, 16)	12544	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 16)	(28, 28, 96)	75264	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(14, 14, 128)	25088	(2, 2)	(2, 2)	(0, 0)
CBR	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 256)	(7, 7, 256)	12544	(2, 2)	(2, 2)	(0, 0)
