layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 256)	(28, 28, 512)	401408	(1, 1)	(2, 2)	(0, 0)
CBR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 128)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 128)	(28, 28, 192)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 192)	(28, 28, 16)	12544	(1, 1)	(1, 1)	(0, 0)
M	(28, 28, 16)	(14, 14, 16)	3136	(2, 2)	(2, 2)	(0, 0)
CBR	(14, 14, 16)	(14, 14, 48)	9408	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 48)	(14, 14, 48)	9408	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 48)	(14, 14, 48)	9408	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 48)	(14, 14, 16)	3136	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 16)	(14, 14, 48)	9408	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 48)	(7, 7, 48)	2352	(5, 5)	(2, 2)	(2, 2)
M	(7, 7, 48)	(7, 7, 48)	2352	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 48)	(7, 7, 288)	14112	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 288)	(4, 4, 288)	4608	(5, 5)	(2, 2)	(2, 2)
M	(4, 4, 288)	(2, 2, 288)	1152	(3, 3)	(2, 2)	(0, 0)
