load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
104448	100352	752	680	512	(56, 56, 32)	(56, 56, 32)	(1, 1)	(1, 1)	(0, 0)
173888	7840	288	316	640	(7, 7, 160)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
137280	6272	656	92	256	(14, 14, 32)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
589056	50176	752	484	2048	(14, 14, 256)	(14, 14, 832)	(1, 1)	(1, 1)	(0, 0)
17152	25088	224	792	128	(28, 28, 32)	(28, 28, 16)	(3, 3)	(1, 1)	(1, 1)
114688	200704	1232	168	1792	(56, 56, 64)	(56, 56, 32)	(1, 1)	(1, 1)	(0, 0)
362496	100352	752	960	4096	(14, 14, 512)	(14, 14, 256)	(1, 1)	(1, 1)	(0, 0)
487424	100352	1680	1576	896	(56, 56, 32)	(112, 112, 32)	(3, 3)	(2, 2)	(1, 1)
10176	3136	224	68	64	(14, 14, 16)	(14, 14, 48)	(1, 1)	(1, 1)	(0, 0)
380928	40768	944	1128	1664	(14, 14, 208)	(14, 14, 96)	(3, 3)	(1, 1)	(1, 1)
91136	125440	752	316	2560	(28, 28, 160)	(28, 28, 64)	(1, 1)	(1, 1)	(0, 0)
2297856	50176	752	932	4096	(7, 7, 1024)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
586240	62720	2544	904	1280	(14, 14, 320)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
137376	93312	784	908	1536	(27, 27, 128)	(27, 27, 32)	(3, 3)	(1, 1)	(1, 1)
4444160	1605632	36064	432	14336	(112, 112, 128)	(112, 112, 64)	(3, 3)	(1, 1)	(1, 1)
362496	50176	560	484	2048	(14, 14, 256)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
1148928	100352	752	932	8192	(7, 7, 2048)	(7, 7, 512)	(1, 1)	(1, 1)	(0, 0)
16176	14112	224	540	1152	(7, 7, 288)	(7, 7, 48)	(1, 1)	(1, 1)	(0, 0)
224256	75264	1392	792	1536	(28, 28, 96)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
341184	1728	768	452	768	(3, 3, 192)	(8, 8, 192)	(3, 3)	(2, 2)	(0, 0)
281280	58800	1232	120	960	(35, 35, 48)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
430080	100352	1232	1016	3584	(28, 28, 128)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
27712	18816	224	708	1536	(7, 7, 384)	(7, 7, 64)	(1, 1)	(1, 1)	(0, 0)
