load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
917504	200704	13424	36	565248	(28, 28, 256)	(56, 56, 256)	(3, 3)	(2, 2)	(0, 0)
1507328	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
991744	692224	6352	36	1961984	(104, 104, 64)	(104, 104, 64)	(3, 3)	(1, 1)	(1, 1)
156672	37632	1264	16	602112	(14, 14, 192)	(28, 28, 192)	(2, 2)	(2, 2)	(0, 0)
56896	7840	1056	16	125440	(7, 7, 160)	(14, 14, 160)	(2, 2)	(2, 2)	(0, 0)
175104	6272	1072	16	100352	(14, 14, 32)	(28, 28, 32)	(2, 2)	(2, 2)	(0, 0)
223488	9408	400	16	139968	(14, 14, 48)	(27, 27, 48)	(2, 2)	(2, 2)	(0, 0)
574464	16384	6256	16	200704	(4, 4, 1024)	(7, 7, 1024)	(2, 2)	(2, 2)	(0, 0)
676352	9216	2928	36	173056	(6, 6, 256)	(13, 13, 256)	(3, 3)	(2, 2)	(0, 0)
1256256	50176	2928	36	802816	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(0, 0)
200512	9408	2208	36	37632	(7, 7, 192)	(7, 7, 192)	(3, 3)	(1, 1)	(1, 1)
476672	10976	1072	36	175616	(7, 7, 224)	(14, 14, 224)	(3, 3)	(2, 2)	(0, 0)
152064	37632	1168	36	892416	(28, 28, 48)	(56, 56, 48)	(3, 3)	(2, 2)	(0, 0)
220800	78400	4512	36	313600	(14, 14, 400)	(14, 14, 400)	(3, 3)	(1, 1)	(1, 1)
724992	25088	3184	16	401408	(7, 7, 512)	(14, 14, 512)	(2, 2)	(2, 2)	(0, 0)
58368	12544	464	16	200704	(14, 14, 64)	(28, 28, 64)	(2, 2)	(2, 2)	(0, 0)
589056	50176	2928	36	200704	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
556032	100352	1520	36	401408	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
2409472	4608	5728	36	100352	(3, 3, 512)	(7, 7, 512)	(3, 3)	(2, 2)	(0, 0)
272448	31360	1872	36	125440	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
39168	75264	1168	36	301056	(28, 28, 96)	(28, 28, 96)	(3, 3)	(1, 1)	(1, 1)
224256	18816	688	16	301056	(14, 14, 96)	(28, 28, 96)	(2, 2)	(2, 2)	(0, 0)
200544	27744	1152	36	110976	(17, 17, 96)	(17, 17, 96)	(3, 3)	(1, 1)	(1, 1)
1048576	28672	400	36	114688	(8, 8, 448)	(8, 8, 448)	(3, 3)	(1, 1)	(1, 1)
39168	18816	688	16	301056	(14, 14, 96)	(28, 28, 96)	(2, 2)	(2, 2)	(0, 0)
611840	401408	13424	36	565248	(56, 56, 128)	(56, 56, 128)	(3, 3)	(1, 1)	(1, 1)
4071424	100352	4816	16	1605632	(14, 14, 512)	(28, 28, 512)	(2, 2)	(2, 2)	(0, 0)
155392	12544	1648	16	200704	(7, 7, 256)	(14, 14, 256)	(2, 2)	(2, 2)	(0, 0)
239616	602112	20080	36	847872	(56, 56, 192)	(56, 56, 192)	(3, 3)	(1, 1)	(1, 1)
1112064	25088	880	16	401408	(14, 14, 128)	(28, 28, 128)	(2, 2)	(2, 2)	(0, 0)
1236992	50176	2928	36	200704	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
174336	8192	976	16	100352	(4, 4, 512)	(7, 7, 512)	(2, 2)	(2, 2)	(0, 0)
157696	5488	1328	36	87808	(7, 7, 112)	(14, 14, 112)	(3, 3)	(2, 2)	(0, 0)
62208	18816	4336	36	301056	(7, 7, 384)	(14, 14, 384)	(3, 3)	(2, 2)	(0, 0)
18688	9408	2224	36	150528	(7, 7, 192)	(14, 14, 192)	(3, 3)	(2, 2)	(0, 0)
91056	32448	2208	36	129792	(13, 13, 192)	(13, 13, 192)	(3, 3)	(1, 1)	(1, 1)
2297856	100352	22640	36	401408	(7, 7, 2048)	(7, 7, 2048)	(3, 3)	(1, 1)	(1, 1)
119296	4608	1504	36	86528	(6, 6, 128)	(13, 13, 128)	(3, 3)	(2, 2)	(0, 0)
421920	58800	18592	36	692160	(35, 35, 48)	(35, 35, 48)	(3, 3)	(1, 1)	(1, 1)
119296	3136	480	16	43264	(7, 7, 64)	(13, 13, 64)	(2, 2)	(2, 2)	(0, 0)
2406528	24576	4336	36	443904	(8, 8, 384)	(17, 17, 384)	(3, 3)	(2, 2)	(0, 0)
152064	12544	2800	16	200704	(28, 28, 16)	(56, 56, 16)	(2, 2)	(2, 2)	(0, 0)
362496	50176	2928	36	200704	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
559200	31104	688	16	470400	(18, 18, 96)	(35, 35, 96)	(2, 2)	(2, 2)	(0, 0)
229376	50176	19824	36	1189888	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(0, 0)
7533568	50176	6256	16	802816	(7, 7, 1024)	(14, 14, 1024)	(2, 2)	(2, 2)	(0, 0)
1064960	25088	1504	36	401408	(14, 14, 128)	(28, 28, 128)	(3, 3)	(2, 2)	(0, 0)
296640	18496	816	36	313600	(17, 17, 64)	(35, 35, 64)	(3, 3)	(2, 2)	(0, 0)
1345920	3456	4320	36	75264	(3, 3, 384)	(7, 7, 384)	(3, 3)	(2, 2)	(0, 0)
58368	50176	464	36	200704	(28, 28, 64)	(28, 28, 64)	(3, 3)	(1, 1)	(1, 1)
382464	25088	880	16	401408	(14, 14, 128)	(28, 28, 128)	(2, 2)	(2, 2)	(0, 0)
618496	12544	1168	16	200704	(7, 7, 256)	(14, 14, 256)	(2, 2)	(2, 2)	(0, 0)
1449984	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
122112	6272	464	36	100352	(14, 14, 32)	(28, 28, 32)	(3, 3)	(2, 2)	(0, 0)
2026240	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
2297856	50176	784	36	200704	(7, 7, 1024)	(7, 7, 1024)	(3, 3)	(1, 1)	(1, 1)
152064	150528	1168	36	1784832	(56, 56, 48)	(56, 56, 48)	(3, 3)	(1, 1)	(1, 1)
1236992	12544	2928	36	200704	(7, 7, 256)	(14, 14, 256)	(3, 3)	(2, 2)	(0, 0)
373824	12544	2928	36	200704	(7, 7, 256)	(14, 14, 256)	(3, 3)	(2, 2)	(0, 0)
158208	4704	672	16	75264	(7, 7, 96)	(14, 14, 96)	(2, 2)	(2, 2)	(0, 0)
281280	15552	400	16	235200	(18, 18, 48)	(35, 35, 48)	(2, 2)	(2, 2)	(0, 0)
312000	18496	816	36	313600	(17, 17, 64)	(35, 35, 64)	(3, 3)	(2, 2)	(0, 0)
375040	15552	400	16	235200	(18, 18, 48)	(35, 35, 48)	(2, 2)	(2, 2)	(0, 0)
4098160	16384	6256	16	200704	(4, 4, 1024)	(7, 7, 1024)	(2, 2)	(2, 2)	(0, 0)
591360	12288	1168	36	221952	(8, 8, 192)	(17, 17, 192)	(3, 3)	(2, 2)	(0, 0)
792576	9408	1248	16	150528	(7, 7, 192)	(14, 14, 192)	(2, 2)	(2, 2)	(0, 0)
165888	25088	1504	36	100352	(14, 14, 128)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
175104	25088	1072	36	100352	(28, 28, 32)	(28, 28, 32)	(3, 3)	(1, 1)	(1, 1)
917504	24576	4320	36	98304	(8, 8, 384)	(8, 8, 384)	(3, 3)	(1, 1)	(1, 1)
1619744	175232	14320	16	668800	(74, 74, 32)	(147, 147, 32)	(2, 2)	(2, 2)	(0, 0)
724992	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
