layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 32)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 64)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 64)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 64)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 64)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 64)	(28, 28, 128)	100352	(1, 1)	(2, 2)	(0, 0)
CR	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 512)	401408	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 512)	(14, 14, 1024)	200704	(1, 1)	(2, 2)	(0, 0)
CR	(14, 14, 1024)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 512)	(14, 14, 32)	6272	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 32)	(14, 14, 192)	37632	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 192)	(7, 7, 192)	9408	(3, 3)	(2, 2)	(1, 1)
CR	(7, 7, 192)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 384)	(7, 7, 96)	4704	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 96)	(3, 3, 96)	864	(3, 3)	(2, 2)	(0, 0)
